danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.688,0.459,4,-13.263,1,0.0328,0.696,1.1e-05,0.166,0.609,134.08,audio_features,4qrVC09Ud9a0B2hpwT1EGV,spotify:track:4qrVC09Ud9a0B2hpwT1EGV,https://api.spotify.com/v1/tracks/4qrVC09Ud9a0B2hpwT1EGV,https://api.spotify.com/v1/audio-analysis/4qrVC09Ud9a0B2hpwT1EGV,185933,4,45
0.627,0.518,8,-7.178,1,0.0286,0.436,0.0,0.128,0.337,95.991,audio_features,2GbTLMvttdfKoz4YDjZJis,spotify:track:2GbTLMvttdfKoz4YDjZJis,https://api.spotify.com/v1/tracks/2GbTLMvttdfKoz4YDjZJis,https://api.spotify.com/v1/audio-analysis/2GbTLMvttdfKoz4YDjZJis,200893,4,53
0.383,0.419,11,-9.835,0,0.0564,0.801,0.000268,0.221,0.211,81.206,audio_features,0GoTonjhYLPM7NVKqliTTt,spotify:track:0GoTonjhYLPM7NVKqliTTt,https://api.spotify.com/v1/tracks/0GoTonjhYLPM7NVKqliTTt,https://api.spotify.com/v1/audio-analysis/0GoTonjhYLPM7NVKqliTTt,238829,4,51
0.576,0.302,7,-12.437,0,0.0424,0.905,2.42e-05,0.113,0.224,76.033,audio_features,7tkOm1ZNcIg4lKu0XCQgCq,spotify:track:7tkOm1ZNcIg4lKu0XCQgCq,https://api.spotify.com/v1/tracks/7tkOm1ZNcIg4lKu0XCQgCq,https://api.spotify.com/v1/audio-analysis/7tkOm1ZNcIg4lKu0XCQgCq,202677,4,53
0.36,0.209,2,-12.289,1,0.0322,0.77,5.1e-05,0.129,0.213,75.349,audio_features,4WM5HfHQZ0N4o8HDNwRmRk,spotify:track:4WM5HfHQZ0N4o8HDNwRmRk,https://api.spotify.com/v1/tracks/4WM5HfHQZ0N4o8HDNwRmRk,https://api.spotify.com/v1/audio-analysis/4WM5HfHQZ0N4o8HDNwRmRk,216747,4,53
0.353,0.386,0,-10.927,1,0.045,0.661,0.000231,0.0806,0.269,147.808,audio_features,65cQkOFngSgj37Gnzp4ry4,spotify:track:65cQkOFngSgj37Gnzp4ry4,https://api.spotify.com/v1/tracks/65cQkOFngSgj37Gnzp4ry4,https://api.spotify.com/v1/audio-analysis/65cQkOFngSgj37Gnzp4ry4,234240,4,53
0.514,0.278,1,-11.362,1,0.032,0.752,0.000261,0.205,0.211,95.718,audio_features,3c9srkZXPYH5969NYxVXZS,spotify:track:3c9srkZXPYH5969NYxVXZS,https://api.spotify.com/v1/tracks/3c9srkZXPYH5969NYxVXZS,https://api.spotify.com/v1/audio-analysis/3c9srkZXPYH5969NYxVXZS,275171,4,53
0.59,0.292,11,-12.826,0,0.0325,0.772,0.00435,0.162,0.339,143.979,audio_features,5Ics32fcXJuInGCu9DPpqg,spotify:track:5Ics32fcXJuInGCu9DPpqg,https://api.spotify.com/v1/tracks/5Ics32fcXJuInGCu9DPpqg,https://api.spotify.com/v1/audio-analysis/5Ics32fcXJuInGCu9DPpqg,304494,4,53
0.351,0.394,4,-9.321,1,0.0462,0.558,0.0462,0.13,0.274,102.14,audio_features,1U2ahyThq23V2R7rgfOSRr,spotify:track:1U2ahyThq23V2R7rgfOSRr,https://api.spotify.com/v1/tracks/1U2ahyThq23V2R7rgfOSRr,https://api.spotify.com/v1/audio-analysis/1U2ahyThq23V2R7rgfOSRr,232867,5,52
0.342,0.2,4,-13.569,1,0.0324,0.134,0.000153,0.341,0.0743,133.113,audio_features,4B2lJinAkeNLSJjcq3dg8Q,spotify:track:4B2lJinAkeNLSJjcq3dg8Q,https://api.spotify.com/v1/tracks/4B2lJinAkeNLSJjcq3dg8Q,https://api.spotify.com/v1/audio-analysis/4B2lJinAkeNLSJjcq3dg8Q,286653,4,52
0.619,0.299,2,-7.744,1,0.0279,0.846,4.99e-05,0.243,0.31,115.405,audio_features,1d39v4V4DmrrLiFX4DKHBv,spotify:track:1d39v4V4DmrrLiFX4DKHBv,https://api.spotify.com/v1/tracks/1d39v4V4DmrrLiFX4DKHBv,https://api.spotify.com/v1/audio-analysis/1d39v4V4DmrrLiFX4DKHBv,251960,4,52
0.408,0.363,2,-13.949,1,0.0284,0.528,0.0538,0.0868,0.212,131.249,audio_features,1dNDxVM1HDpdKgon58QvtU,spotify:track:1dNDxVM1HDpdKgon58QvtU,https://api.spotify.com/v1/tracks/1dNDxVM1HDpdKgon58QvtU,https://api.spotify.com/v1/audio-analysis/1dNDxVM1HDpdKgon58QvtU,368494,4,52
0.554,0.393,3,-12.32,0,0.0316,0.929,0.000807,0.097,0.248,106.136,audio_features,4TtrTorJrVMEIprmQydrVv,spotify:track:4TtrTorJrVMEIprmQydrVv,https://api.spotify.com/v1/tracks/4TtrTorJrVMEIprmQydrVv,https://api.spotify.com/v1/audio-analysis/4TtrTorJrVMEIprmQydrVv,231707,4,51
0.455,0.129,4,-17.769,1,0.0305,0.767,0.0,0.11,0.194,77.257,audio_features,2ICMOgpboUzD1EcxkUS9qz,spotify:track:2ICMOgpboUzD1EcxkUS9qz,https://api.spotify.com/v1/tracks/2ICMOgpboUzD1EcxkUS9qz,https://api.spotify.com/v1/audio-analysis/2ICMOgpboUzD1EcxkUS9qz,243012,4,51
0.53,0.283,5,-11.962,1,0.0367,0.876,0.000141,0.106,0.282,114.982,audio_features,1I9dSqB5XSdwOfn9M8zpRg,spotify:track:1I9dSqB5XSdwOfn9M8zpRg,https://api.spotify.com/v1/tracks/1I9dSqB5XSdwOfn9M8zpRg,https://api.spotify.com/v1/audio-analysis/1I9dSqB5XSdwOfn9M8zpRg,216173,4,51
0.329,0.236,6,-10.827,1,0.0345,0.811,0.000469,0.115,0.346,177.36,audio_features,4K00AQLpOhGUdDfDINDfYL,spotify:track:4K00AQLpOhGUdDfDINDfYL,https://api.spotify.com/v1/tracks/4K00AQLpOhGUdDfDINDfYL,https://api.spotify.com/v1/audio-analysis/4K00AQLpOhGUdDfDINDfYL,192813,3,51
0.44,0.284,2,-9.092,1,0.0304,0.764,0.0392,0.076,0.225,79.666,audio_features,0zDfYXlgOZMA2leT4Slz4m,spotify:track:0zDfYXlgOZMA2leT4Slz4m,https://api.spotify.com/v1/tracks/0zDfYXlgOZMA2leT4Slz4m,https://api.spotify.com/v1/audio-analysis/0zDfYXlgOZMA2leT4Slz4m,275628,4,51
0.499,0.223,9,-15.253,1,0.0338,0.912,0.0,0.0962,0.304,129.291,audio_features,3PeCWDczrGqdD1E3mbok2X,spotify:track:3PeCWDczrGqdD1E3mbok2X,https://api.spotify.com/v1/tracks/3PeCWDczrGqdD1E3mbok2X,https://api.spotify.com/v1/audio-analysis/3PeCWDczrGqdD1E3mbok2X,204467,5,51
